Rank,Country,Gdp
,World,"80,683,787"
1,United States,"19,390,604"
—,European Union[23],"17,277,698"
2,China[n 5],"12,237,700"
3,Japan,"4,872,137"
4,Germany,"3,677,439"
5,England,"2,622,434"
6,India,"2,597,491"
7,France,"2,582,501"
8,Brazil,"2,055,506"
9,Italy,"1,934,798"
10,Canada,"1,653,043"
11,Russia,"1,577,524"
12,South Korea,"1,530,751"
13,Australia,"1,323,421"
14,Spain,"1,311,320"
15,Mexico,"1,149,919"
16,Indonesia,"1,015,539"
17,Turkey,"851,102"
18,Netherlands,"826,200"
19,Saudi Arabia,"683,827"
20,Switzerland,"678,887"
21,Argentina,"637,590"
22,Sweden,"538,040"
23,Poland,"524,510"
24,Belgium,"492,681"
25,Thailand,"455,221"
26,Iran,"439,514"
27,Austria,"416,596"
28,Norway,"398,832"
29,United Arab Emirates,"382,575"
30,Nigeria,"375,771"
31,Israel,"350,851"
32,South Africa,"349,419"
33,Hong Kong,"341,449"
34,Ireland,"333,731"
35,Denmark,"324,872"
36,Singapore,"323,907"
37,Malaysia,"314,500"
38,Philippines,"313,595"
39,Colombia,"309,191"
40,Pakistan,"304,952"
41,Chile,"277,076"
42,Finland,"251,885"
43,Bangladesh,"249,724"
44,Egypt,"235,369"
45,Vietnam,"223,864"
46,Portugal,"217,571"
47,Czech Republic,"215,726"
48,Romania,"211,803"
49,Peru,"211,389"
50,New Zealand,"205,853"
51,Greece,"200,288"
52,Iraq,"197,716"
53,Algeria,"170,371"
54,Qatar,"167,605"
55,Kazakhstan,"159,407"
56,Hungary,"139,135"
57,Angola,"124,209"
58,Kuwait,"120,126"
59,Sudan,"117,488"
60,Ukraine,"112,154"
61,Morocco,"109,139"
62,Ecuador,"103,057"
63,Slovak Republic,"95,769"
64,Sri Lanka,"87,175"
65,Ethiopia,"80,561"
66,Dominican Republic,"75,932"
67,Guatemala,"75,620"
68,Kenya,"74,938"
69,Oman,"72,643"
70,Myanmar,"69,322"
71,Luxembourg,"62,404"
72,Panama,"61,838"
73,Costa Rica,"57,057"
74,Bulgaria,"56,832"
75,Uruguay,"56,157"
76,Croatia,"54,849"
77,Belarus,"54,442"
78,Tanzania[n 7],"52,090"
79,Lebanon,"51,844"
80,Libya,"50,984"
81,Macau,"50,361"
82,Slovenia,"48,770"
83,Uzbekistan,"48,718"
84,Ghana,"47,330"
85,Lithuania,"47,168"
86,Turkmenistan,"42,355"
87,Serbia,"41,432"
88,Azerbaijan,"40,748"
89,Cote d'Ivoire,"40,389"
90,Tunisia,"40,257"
91,Jordan,"40,068"
92,Bolivia,"37,509"
93,Democratic Republic of the Congo,"37,241"
94,Bahrain,"35,307"
95,Cameroon,"34,799"
96,Latvia,"30,264"
97,Paraguay,"29,735"
98,Estonia,"25,921"
99,Uganda,"25,891"
100,Zambia,"25,809"
101,El Salvador,"24,805"
102,Nepal,"24,472"
103,Iceland,"23,909"
104,Honduras,"22,979"
105,Cambodia,"22,158"
106,Trinidad and Tobago,"22,105"
107,Cyprus[n 8],"21,652"
108,Papua New Guinea,"21,089"
109,Afghanistan,"20,815"
110,Bosnia and Herzegovina,"18,169"
111,Zimbabwe,"17,846"
112,Botswana,"17,407"
113,Laos,"16,853"
114,Senegal,"16,375"
115,Mali,"15,288"
116,Georgia[n 9],"15,159"
117,Jamaica,"14,768"
118,Gabon,"14,623"
119,West Bank and Gaza,"14,498"
120,Nicaragua,"13,814"
121,Mauritius,"13,338"
122,Namibia,"13,245"
123,Albania,"13,039"
124,Burkina Faso,"12,873"
125,Malta,"12,538"
126,Equatorial Guinea,"12,487"
127,Mozambique,"12,334"
128,The Bahamas,"12,162"
129,Brunei,"12,128"
130,Armenia,"11,537"
131,Madagascar,"11,500"
132,Mongolia,"11,488"
133,Macedonia,"11,338"
134,Guinea,"10,491"
135,Chad,"9,981"
136,Benin,"9,274"
137,Rwanda,"9,137"
138,Republic of the Congo,"8,723"
139,Haiti,"8,408"
140,Moldova[n 10],"8,128"
141,Niger,"8,120"
142,Kyrgyzstan,"7,565"
143,Somalia,"7,369"
144,Tajikistan,"7,146"
145,Kosovo,"7,129"
146,Malawi,"6,303"
147,Fiji,"5,061"
148,Mauritania,"5,025"
149,Togo,"4,813"
150,Barbados,"4,797"
151,Montenegro,"4,774"
152,Maldives,"4,597"
153,Swaziland,"4,409"
154,Sierra Leone,"3,774"
155,Guyana,"3,676"
156,Burundi,"3,478"
157,Suriname,"3,324"
158,Andorra,"3,013"
159,Timor-Leste,"2,955"
160,Lesotho,"2,639"
161,Bhutan,"2,512"
162,Liberia,"2,158"
163,Central African Republic,"1,949"
164,Djibouti,"1,845"
165,Belize,"1,838"
166,Cabo Verde,"1,754"
167,Saint Lucia,"1,712"
168,San Marino,"1,659"
169,Antigua and Barbuda,"1,532"
170,Seychelles,"1,486"
171,Guinea-Bissau,"1,347"
172,Solomon Islands,"1,303"
173,Grenada,"1,119"
174,The Gambia,"1,015"
175,Saint Kitts and Nevis,946
176,Vanuatu,863
177,Samoa,857
178,Saint Vincent and the Grenadines,790
179,Comoros,649
180,Dominica,563
181,Tonga,426
182,Sao Tome and Principe,391
183,Federated States of Micronesia,336
184,Palau,292
185,Marshall Islands,199
186,Kiribati,196
187,Nauru,114
188,Tuvalu,40
