No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Nahuel Guzmán,10 February 1986 (aged 32),6,0,UANL
2,DF,Gabriel Mercado,18 March 1987 (aged 31),20,3,Sevilla
3,DF,Nicolás Tagliafico,31 August 1992 (aged 25),4,0,Ajax
4,DF,Cristian Ansaldi,20 September 1986 (aged 31),5,0,Torino
5,MF,Lucas Biglia,30 January 1986 (aged 32),57,1,Milan
6,DF,Federico Fazio,17 March 1987 (aged 31),9,1,Roma
7,MF,Éver Banega,29 June 1988 (aged 29),62,6,Sevilla
8,DF,Marcos Acuña,28 October 1991 (aged 26),10,0,Sporting CP
9,FW,Gonzalo Higuaín,10 December 1987 (aged 30),71,31,Juventus
10,FW,Lionel Messi (captain),24 June 1987 (aged 30),124,64,Barcelona
11,MF,Ángel Di María,14 February 1988 (aged 30),94,19,Paris Saint-Germain
12,GK,Franco Armani,16 October 1986 (aged 31),0,0,River Plate
13,MF,Maximiliano Meza,15 December 1992 (aged 25),2,0,Independiente
14,DF,Javier Mascherano,8 June 1984 (aged 34),143,3,Hebei China Fortune
15,MF,Enzo Pérez,22 February 1986 (aged 32),23,1,River Plate
16,DF,Marcos Rojo,20 March 1990 (aged 28),56,2,Manchester United
17,DF,Nicolás Otamendi,12 February 1988 (aged 30),54,4,Manchester City
18,DF,Eduardo Salvio,13 July 1990 (aged 27),9,0,Benfica
19,FW,Sergio Agüero,2 June 1988 (aged 30),85,37,Manchester City
20,MF,Giovani Lo Celso,9 April 1996 (aged 22),5,0,Paris Saint-Germain
21,FW,Paulo Dybala,15 November 1993 (aged 24),12,0,Juventus
22,MF,Cristian Pavón,21 January 1996 (aged 22),5,0,Boca Juniors
23,GK,Willy Caballero,28 September 1981 (aged 36),3,0,Chelsea
