No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Mathew Ryan,8 April 1992 (aged 26),44,0,Brighton & Hove Albion
2,DF,Milos Degenek,28 April 1994 (aged 24),18,0,Yokohama F. Marinos
3,DF,James Meredith,5 April 1988 (aged 30),2,0,Millwall
4,FW,Tim Cahill,6 December 1979 (aged 38),106,50,Millwall
5,DF,Mark Milligan,4 August 1985 (aged 32),71,6,Al-Ahli
6,DF,Matthew Jurman,8 December 1989 (aged 28),4,0,Suwon Samsung Bluewings
7,FW,Mathew Leckie,4 February 1991 (aged 27),53,8,Hertha BSC
8,MF,Massimo Luongo,25 September 1992 (aged 25),36,5,Queens Park Rangers
9,FW,Tomi Juric,22 July 1991 (aged 26),35,8,Luzern
10,FW,Robbie Kruse,5 October 1988 (aged 29),64,5,VfL Bochum
11,FW,Andrew Nabbout,17 December 1992 (aged 25),4,1,Urawa Red Diamonds
12,GK,Brad Jones,19 March 1982 (aged 36),6,0,Feyenoord
13,MF,Aaron Mooy,15 September 1990 (aged 27),34,5,Huddersfield Town
14,FW,Jamie Maclaren,29 July 1993 (aged 24),6,0,Hibernian
15,MF,Mile Jedinak (captain),3 August 1984 (aged 33),76,18,Aston Villa
16,DF,Aziz Behich,16 December 1990 (aged 27),23,2,Bursaspor
17,FW,Daniel Arzani,4 January 1999 (aged 19),2,1,Melbourne City
18,GK,Danny Vukovic,27 March 1985 (aged 33),1,0,Genk
19,DF,Josh Risdon,27 July 1992 (aged 25),8,0,Western Sydney Wanderers
20,DF,Trent Sainsbury,5 January 1992 (aged 26),35,3,Grasshoppers
21,FW,Dimitri Petratos,10 November 1992 (aged 25),2,0,Newcastle Jets
22,MF,Jackson Irvine,7 March 1993 (aged 25),19,2,Hull City
23,MF,Tom Rogic,16 December 1992 (aged 25),37,7,Celtic
