No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Thibaut Courtois,11 May 1992 (aged 26),58,0,Chelsea
2,DF,Toby Alderweireld,2 March 1989 (aged 29),77,3,Tottenham Hotspur
3,DF,Thomas Vermaelen,14 November 1985 (aged 32),66,1,Barcelona
4,DF,Vincent Kompany,10 April 1986 (aged 32),77,4,Manchester City
5,DF,Jan Vertonghen,24 April 1987 (aged 31),102,8,Tottenham Hotspur
6,MF,Axel Witsel,12 January 1989 (aged 29),90,9,Tianjin Quanjian
7,MF,Kevin De Bruyne,28 June 1991 (aged 26),62,14,Manchester City
8,MF,Marouane Fellaini,22 November 1987 (aged 30),82,17,Manchester United
9,FW,Romelu Lukaku,13 May 1993 (aged 25),69,36,Manchester United
10,FW,Eden Hazard (captain),7 January 1991 (aged 27),86,22,Chelsea
11,MF,Yannick Carrasco,4 September 1993 (aged 24),26,5,Dalian Yifang
12,GK,Simon Mignolet,6 March 1988 (aged 30),21,0,Liverpool
13,GK,Koen Casteels,25 June 1992 (aged 25),0,0,VfL Wolfsburg
14,FW,Dries Mertens,6 May 1987 (aged 31),69,14,Napoli
15,DF,Thomas Meunier,12 September 1991 (aged 26),25,5,Paris Saint-Germain
16,MF,Thorgan Hazard,29 March 1993 (aged 25),11,1,Borussia Mönchengladbach
17,MF,Youri Tielemans,7 May 1997 (aged 21),9,0,Monaco
18,FW,Adnan Januzaj,5 February 1995 (aged 23),8,0,Real Sociedad
19,MF,Mousa Dembélé,16 July 1987 (aged 30),76,5,Tottenham Hotspur
20,DF,Dedryck Boyata,28 November 1990 (aged 27),7,0,Celtic
21,FW,Michy Batshuayi,2 October 1993 (aged 24),16,7,Borussia Dortmund
22,MF,Nacer Chadli,2 August 1989 (aged 28),45,5,West Bromwich Albion
23,DF,Leander Dendoncker,15 April 1995 (aged 23),5,0,Anderlecht
