No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,David Ospina,31 August 1988 (aged 29),86,0,Arsenal
2,DF,Cristián Zapata,30 September 1986 (aged 31),55,2,Milan
3,DF,Óscar Murillo,18 April 1988 (aged 30),13,0,Pachuca
4,DF,Santiago Arias,13 January 1992 (aged 26),41,0,PSV Eindhoven
5,MF,Wílmar Barrios,16 October 1993 (aged 24),10,0,Boca Juniors
6,MF,Carlos Sánchez,6 February 1986 (aged 32),85,0,Espanyol
7,FW,Carlos Bacca,8 September 1986 (aged 31),45,14,Villarreal
8,MF,Abel Aguilar,6 January 1985 (aged 33),70,7,Deportivo Cali
9,FW,Radamel Falcao (captain),10 February 1986 (aged 32),73,29,Monaco
10,MF,James Rodríguez,12 July 1991 (aged 26),63,21,Bayern Munich
11,MF,Juan Cuadrado,26 May 1988 (aged 30),70,7,Juventus
12,GK,Camilo Vargas,9 March 1989 (aged 29),5,0,Deportivo Cali
13,DF,Yerry Mina,23 September 1994 (aged 23),12,3,Barcelona
14,FW,Luis Muriel,16 April 1991 (aged 27),18,2,Sevilla
15,MF,Mateus Uribe,21 March 1991 (aged 27),8,0,América
16,MF,Jefferson Lerma,25 October 1994 (aged 23),5,0,Levante
17,DF,Johan Mojica,21 August 1992 (aged 25),4,1,Girona
18,DF,Farid Díaz,20 July 1983 (aged 34),13,0,Olimpia
19,FW,Miguel Borja,26 January 1993 (aged 25),7,2,Palmeiras
20,MF,Juan Fernando Quintero,18 January 1993 (aged 25),15,2,River Plate
21,FW,José Izquierdo,7 July 1992 (aged 25),5,1,Brighton & Hove Albion
22,GK,José Fernando Cuadrado,1 June 1985 (aged 33),1,0,Once Caldas
23,DF,Dávinson Sánchez,12 June 1996 (aged 22),9,0,Tottenham Hotspur
