No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Keylor Navas,15 December 1986 (aged 31),81,0,Real Madrid
2,DF,Johnny Acosta,21 July 1983 (aged 34),69,2,Águilas Doradas
3,DF,Giancarlo González,8 February 1988 (aged 30),70,2,Bologna
4,DF,Ian Smith,6 March 1998 (aged 20),4,0,Norrköping
5,MF,Celso Borges,27 May 1988 (aged 30),113,21,Deportivo La Coruña
6,DF,Óscar Duarte,3 June 1989 (aged 29),39,2,Espanyol
7,MF,Christian Bolaños,17 May 1984 (aged 34),81,6,Saprissa
8,DF,Bryan Oviedo,18 February 1990 (aged 28),44,1,Sunderland
9,MF,Daniel Colindres,10 January 1985 (aged 33),11,0,Saprissa
10,MF,Bryan Ruiz (captain),18 August 1985 (aged 32),110,24,Sporting CP
11,FW,Johan Venegas,27 November 1988 (aged 29),47,10,Saprissa
12,FW,Joel Campbell,26 June 1992 (aged 25),77,15,Real Betis
13,MF,Rodney Wallace,17 June 1988 (aged 29),30,4,New York City FC
14,MF,Randall Azofeifa,30 December 1984 (aged 33),58,3,Herediano
15,DF,Francisco Calvo,8 July 1992 (aged 25),38,4,Minnesota United
16,DF,Cristian Gamboa,24 October 1989 (aged 28),68,3,Celtic
17,MF,Yeltsin Tejeda,17 March 1992 (aged 26),51,0,Lausanne
18,GK,Patrick Pemberton,24 April 1982 (aged 36),39,0,Alajuelense
19,DF,Kendall Waston,1 January 1988 (aged 30),26,3,Vancouver Whitecaps FC
20,MF,David Guzmán,18 February 1990 (aged 28),43,0,Portland Timbers
21,FW,Marco Ureña,5 March 1990 (aged 28),64,15,Los Angeles FC
22,DF,Kenner Gutiérrez,9 June 1989 (aged 29),9,0,Alajuelense
23,GK,Leonel Moreira,2 April 1990 (aged 28),9,0,Herediano
