No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Dominik Livaković,9 January 1995 (aged 23),1,0,Dinamo Zagreb
2,DF,Šime Vrsaljko,10 January 1992 (aged 26),35,0,Atlético Madrid
3,DF,Ivan Strinić,17 July 1987 (aged 30),43,0,Sampdoria
4,FW,Ivan Perišić,2 February 1989 (aged 29),66,18,Inter Milan
5,DF,Vedran Ćorluka,5 February 1986 (aged 32),99,4,Lokomotiv Moscow
6,DF,Dejan Lovren,5 July 1989 (aged 28),39,2,Liverpool
7,MF,Ivan Rakitić,10 March 1988 (aged 30),92,14,Barcelona
8,MF,Mateo Kovačić,6 May 1994 (aged 24),41,1,Real Madrid
9,FW,Andrej Kramarić,19 June 1991 (aged 26),31,9,1899 Hoffenheim
10,MF,Luka Modrić (captain),9 September 1985 (aged 32),106,12,Real Madrid
11,MF,Marcelo Brozović,16 November 1992 (aged 25),35,6,Inter Milan
12,GK,Lovre Kalinić,3 April 1990 (aged 28),11,0,Gent
13,DF,Tin Jedvaj,28 November 1995 (aged 22),12,0,Bayer Leverkusen
14,MF,Filip Bradarić,11 January 1992 (aged 26),4,0,Rijeka
15,DF,Duje Ćaleta-Car,17 September 1996 (aged 21),1,0,Red Bull Salzburg
16,FW,Nikola Kalinić[note 2],5 January 1988 (aged 30),42,15,Milan
17,FW,Mario Mandžukić,21 May 1986 (aged 32),83,30,Juventus
18,FW,Ante Rebić,21 September 1993 (aged 24),16,1,Eintracht Frankfurt
19,MF,Milan Badelj,25 February 1989 (aged 29),38,1,Fiorentina
20,FW,Marko Pjaca,6 May 1995 (aged 23),16,1,Schalke 04
21,DF,Domagoj Vida,29 April 1989 (aged 29),59,2,Beşiktaş
22,DF,Josip Pivarić,30 January 1989 (aged 29),19,0,Dynamo Kyiv
23,GK,Danijel Subašić,27 October 1984 (aged 33),38,0,Monaco
