No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Kasper Schmeichel,5 November 1986 (aged 31),35,0,Leicester City
2,MF,Michael Krohn-Dehli,6 June 1983 (aged 35),59,6,Deportivo La Coruña
3,DF,Jannik Vestergaard,3 August 1992 (aged 25),16,1,Borussia Mönchengladbach
4,DF,Simon Kjær (captain),26 March 1989 (aged 29),78,3,Sevilla
5,DF,Jonas Knudsen,16 September 1992 (aged 25),3,0,Ipswich Town
6,DF,Andreas Christensen,10 April 1996 (aged 22),16,1,Chelsea
7,MF,William Kvist,24 February 1985 (aged 33),80,2,Copenhagen
8,MF,Thomas Delaney,3 September 1991 (aged 26),27,4,Werder Bremen
9,FW,Nicolai Jørgensen,15 January 1991 (aged 27),31,8,Feyenoord
10,MF,Christian Eriksen,14 February 1992 (aged 26),78,22,Tottenham Hotspur
11,FW,Martin Braithwaite,5 June 1991 (aged 27),20,1,Bordeaux
12,FW,Kasper Dolberg,6 October 1997 (aged 20),6,1,Ajax
13,DF,Mathias Jørgensen,23 April 1990 (aged 28),12,0,Huddersfield Town
14,DF,Henrik Dalsgaard,27 July 1989 (aged 28),11,0,Brentford
15,FW,Viktor Fischer,9 June 1994 (aged 24),19,3,Copenhagen
16,GK,Jonas Lössl,1 February 1989 (aged 29),1,0,Huddersfield Town
17,DF,Jens Stryger Larsen,21 February 1991 (aged 27),13,1,Udinese
18,MF,Lukas Lerager,12 July 1993 (aged 24),4,0,Bordeaux
19,MF,Lasse Schöne,27 May 1986 (aged 32),36,3,Ajax
20,FW,Yussuf Poulsen,15 June 1994 (aged 23),28,4,RB Leipzig
21,FW,Andreas Cornelius,16 March 1993 (aged 25),18,4,Atalanta
22,GK,Frederik Rønnow,4 August 1992 (aged 25),6,0,Brøndby
23,FW,Pione Sisto,4 February 1995 (aged 23),14,1,Celta Vigo
