No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Jordan Pickford,7 March 1994 (aged 24),3,0,Everton
2,DF,Kyle Walker,28 May 1990 (aged 28),35,0,Manchester City
3,DF,Danny Rose,2 July 1990 (aged 27),18,0,Tottenham Hotspur
4,MF,Eric Dier,15 January 1994 (aged 24),26,3,Tottenham Hotspur
5,DF,John Stones,28 May 1994 (aged 24),26,0,Manchester City
6,DF,Harry Maguire,5 March 1993 (aged 25),5,0,Leicester City
7,MF,Jesse Lingard,15 December 1992 (aged 25),12,1,Manchester United
8,MF,Jordan Henderson,17 June 1990 (aged 27),39,0,Liverpool
9,FW,Harry Kane (captain),28 July 1993 (aged 24),24,13,Tottenham Hotspur
10,FW,Raheem Sterling,8 December 1994 (aged 23),38,2,Manchester City
11,FW,Jamie Vardy,11 January 1987 (aged 31),22,7,Leicester City
12,DF,Kieran Trippier,19 September 1990 (aged 27),7,0,Tottenham Hotspur
13,GK,Jack Butland,10 March 1993 (aged 25),8,0,Stoke City
14,FW,Danny Welbeck,26 November 1990 (aged 27),39,16,Arsenal
15,DF,Gary Cahill,19 December 1985 (aged 32),60,5,Chelsea
16,DF,Phil Jones,21 February 1992 (aged 26),25,0,Manchester United
17,DF,Fabian Delph,21 November 1989 (aged 28),11,0,Manchester City
18,DF,Ashley Young,9 July 1985 (aged 32),34,7,Manchester United
19,FW,Marcus Rashford,31 October 1997 (aged 20),19,3,Manchester United
20,MF,Dele Alli,11 April 1996 (aged 22),25,2,Tottenham Hotspur
21,MF,Ruben Loftus-Cheek,23 January 1996 (aged 22),4,0,Crystal Palace
22,DF,Trent Alexander-Arnold,7 October 1998 (aged 19),1,0,Liverpool
23,GK,Nick Pope,19 April 1992 (aged 26),1,0,Burnley
