No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Manuel Neuer (captain),27 March 1986 (aged 32),76,0,Bayern Munich
2,DF,Marvin Plattenhardt,26 January 1992 (aged 26),6,0,Hertha BSC
3,DF,Jonas Hector,27 May 1990 (aged 28),38,3,1. FC Köln
4,DF,Matthias Ginter,19 January 1994 (aged 24),18,0,Borussia Mönchengladbach
5,DF,Mats Hummels,16 December 1988 (aged 29),64,5,Bayern Munich
6,MF,Sami Khedira,4 April 1987 (aged 31),75,7,Juventus
7,MF,Julian Draxler,20 September 1993 (aged 24),44,6,Paris Saint-Germain
8,MF,Toni Kroos,4 January 1990 (aged 28),83,12,Real Madrid
9,FW,Timo Werner,6 March 1996 (aged 22),14,8,RB Leipzig
10,MF,Mesut Özil,15 October 1988 (aged 29),90,23,Arsenal
11,FW,Marco Reus,31 May 1989 (aged 29),31,9,Borussia Dortmund
12,GK,Kevin Trapp,8 July 1990 (aged 27),3,0,Paris Saint-Germain
13,MF,Thomas Müller,13 September 1989 (aged 28),91,38,Bayern Munich
14,MF,Leon Goretzka,6 February 1995 (aged 23),15,6,Schalke 04
15,DF,Niklas Süle,3 September 1995 (aged 22),11,0,Bayern Munich
16,DF,Antonio Rüdiger,3 March 1993 (aged 25),24,1,Chelsea
17,DF,Jérôme Boateng,3 September 1988 (aged 29),71,1,Bayern Munich
18,DF,Joshua Kimmich,8 February 1995 (aged 23),29,3,Bayern Munich
19,MF,Sebastian Rudy,28 February 1990 (aged 28),25,1,Bayern Munich
20,MF,Julian Brandt,2 May 1996 (aged 22),16,1,Bayer Leverkusen
21,MF,İlkay Gündoğan,24 October 1990 (aged 27),26,4,Manchester City
22,GK,Marc-André ter Stegen,30 April 1992 (aged 26),20,0,Barcelona
23,FW,Mario Gómez,10 July 1985 (aged 32),75,31,VfB Stuttgart
