No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Hannes Þór Halldórsson,27 April 1984 (aged 34),49,0,Randers
2,DF,Birkir Már Sævarsson,11 November 1984 (aged 33),79,1,Valur
3,MF,Samúel Friðjónsson,22 February 1996 (aged 22),4,0,Vålerenga
4,MF,Albert Guðmundsson,15 June 1997 (aged 20),5,3,PSV Eindhoven
5,DF,Sverrir Ingi Ingason,5 August 1993 (aged 24),20,3,Rostov
6,DF,Ragnar Sigurðsson,19 June 1986 (aged 31),77,3,Rostov
7,MF,Jóhann Berg Guðmundsson,27 October 1990 (aged 27),67,7,Burnley
8,MF,Birkir Bjarnason,27 May 1988 (aged 30),67,9,Aston Villa
9,FW,Björn Bergmann Sigurðarson,26 February 1991 (aged 27),12,1,Rostov
10,MF,Gylfi Sigurðsson,8 September 1989 (aged 28),57,19,Everton
11,FW,Alfreð Finnbogason,1 February 1989 (aged 29),47,13,FC Augsburg
12,GK,Frederik Schram,19 January 1995 (aged 23),4,0,Roskilde
13,GK,Rúnar Alex Rúnarsson,18 February 1995 (aged 23),3,0,Nordsjælland
14,DF,Kári Árnason,13 October 1982 (aged 35),67,5,Aberdeen
15,DF,Hólmar Örn Eyjólfsson,6 August 1990 (aged 27),10,1,Levski Sofia
16,MF,Ólafur Ingi Skúlason,1 April 1983 (aged 35),36,1,Kardemir Karabükspor
17,MF,Aron Gunnarsson (captain),22 April 1989 (aged 29),77,2,Cardiff City
18,DF,Hörður Björgvin Magnússon,11 February 1993 (aged 25),16,2,Bristol City
19,MF,Rúrik Gíslason,25 February 1988 (aged 30),47,3,SV Sandhausen
20,MF,Emil Hallfreðsson,29 June 1984 (aged 33),64,1,Udinese
21,MF,Arnór Ingvi Traustason,30 April 1993 (aged 25),19,5,Malmö
22,FW,Jón Daði Böðvarsson,25 May 1992 (aged 26),38,2,Reading
23,DF,Ari Freyr Skúlason,14 May 1987 (aged 31),56,0,Lokeren
