No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Alireza Beiranvand,21 September 1992 (aged 25),22,0,Persepolis
2,MF,Mehdi Torabi,10 September 1994 (aged 23),17,4,Saipa
3,DF,Ehsan Hajsafi,25 February 1990 (aged 28),94,6,Olympiacos
4,DF,Rouzbeh Cheshmi,24 July 1993 (aged 24),10,1,Esteghlal
5,DF,Milad Mohammadi,29 September 1993 (aged 24),19,0,Akhmat Grozny
6,MF,Saeid Ezatolahi,1 October 1996 (aged 21),25,1,Amkar Perm
7,MF,Masoud Shojaei (captain),9 June 1984 (aged 34),74,8,AEK Athens
8,DF,Morteza Pouraliganji,19 April 1992 (aged 26),27,2,Al-Sadd
9,MF,Omid Ebrahimi,16 September 1987 (aged 30),30,0,Esteghlal
10,FW,Karim Ansarifard,3 April 1990 (aged 28),64,17,Olympiacos
11,MF,Vahid Amiri,2 April 1988 (aged 30),36,1,Persepolis
12,GK,Mohammad Rashid Mazaheri,18 May 1989 (aged 29),3,0,Zob Ahan
13,DF,Mohammad Reza Khanzadeh,11 May 1991 (aged 27),11,1,Padideh
14,FW,Saman Ghoddos,6 September 1993 (aged 24),8,1,Östersund
15,DF,Pejman Montazeri,6 September 1983 (aged 34),46,1,Esteghlal
16,FW,Reza Ghoochannejhad,20 September 1987 (aged 30),43,17,Heerenveen
17,FW,Mehdi Taremi,18 July 1992 (aged 25),26,11,Al-Gharafa
18,FW,Alireza Jahanbakhsh,11 August 1993 (aged 24),38,4,AZ
19,DF,Majid Hosseini,20 June 1996 (aged 21),1,0,Esteghlal
20,FW,Sardar Azmoun,1 January 1995 (aged 23),33,23,Rubin Kazan
21,FW,Ashkan Dejagah,5 July 1986 (aged 31),46,9,Nottingham Forest
22,GK,Amir Abedzadeh,26 April 1993 (aged 25),1,0,Marítimo
23,DF,Ramin Rezaeian,21 March 1990 (aged 28),28,2,Oostende
