No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Eiji Kawashima,20 March 1983 (aged 35),84,0,Metz
2,DF,Naomichi Ueda,24 October 1994 (aged 23),4,0,Kashima Antlers
3,DF,Gen Shoji,11 December 1992 (aged 25),11,1,Kashima Antlers
4,MF,Keisuke Honda,13 June 1986 (aged 32),95,36,Pachuca
5,DF,Yuto Nagatomo,12 September 1986 (aged 31),105,3,Galatasaray
6,DF,Wataru Endo,9 February 1993 (aged 25),12,0,Urawa Red Diamonds
7,MF,Gaku Shibasaki,28 May 1992 (aged 26),18,3,Getafe
8,MF,Genki Haraguchi,9 May 1991 (aged 27),33,6,Fortuna Düsseldorf
9,FW,Shinji Okazaki,16 April 1986 (aged 32),113,50,Leicester City
10,MF,Shinji Kagawa,17 March 1989 (aged 29),92,30,Borussia Dortmund
11,MF,Takashi Usami,6 May 1992 (aged 26),24,3,Fortuna Düsseldorf
12,GK,Masaaki Higashiguchi,12 May 1986 (aged 32),5,0,Gamba Osaka
13,FW,Yoshinori Muto,15 July 1992 (aged 25),24,2,Mainz 05
14,MF,Takashi Inui,2 June 1988 (aged 30),27,4,Eibar
15,FW,Yuya Osako,18 May 1990 (aged 28),29,7,1. FC Köln
16,MF,Hotaru Yamaguchi,6 October 1990 (aged 27),42,2,Cerezo Osaka
17,MF,Makoto Hasebe (captain),18 January 1984 (aged 34),110,2,Eintracht Frankfurt
18,MF,Ryota Oshima,23 January 1993 (aged 25),5,0,Kawasaki Frontale
19,DF,Hiroki Sakai,12 April 1990 (aged 28),43,0,Marseille
20,DF,Tomoaki Makino,11 May 1987 (aged 31),32,4,Urawa Red Diamonds
21,DF,Gōtoku Sakai,14 March 1991 (aged 27),41,0,Hamburger SV
22,DF,Maya Yoshida,24 August 1988 (aged 29),82,10,Southampton
23,GK,Kosuke Nakamura,27 February 1995 (aged 23),4,0,Kashiwa Reysol
