No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,José de Jesús Corona,26 January 1981 (aged 37),52,0,Cruz Azul
2,DF,Hugo Ayala,31 March 1987 (aged 31),43,1,UANL
3,DF,Carlos Salcedo,29 September 1993 (aged 24),21,0,Eintracht Frankfurt
4,DF,Rafael Márquez (captain),13 February 1979 (aged 39),145,18,Atlas
5,MF,Érick Gutiérrez,15 June 1995 (aged 22),9,0,Pachuca
6,MF,Jonathan dos Santos,26 April 1990 (aged 28),32,0,LA Galaxy
7,MF,Miguel Layún,25 June 1988 (aged 29),64,6,Sevilla
8,FW,Marco Fabián,21 July 1989 (aged 28),39,9,Eintracht Frankfurt
9,FW,Raúl Jiménez,5 May 1991 (aged 27),63,13,Benfica
10,MF,Giovani dos Santos,11 May 1989 (aged 29),105,19,LA Galaxy
11,FW,Carlos Vela,1 March 1989 (aged 29),68,18,Los Angeles FC
12,GK,Alfredo Talavera,18 September 1982 (aged 35),27,0,Toluca
13,GK,Guillermo Ochoa,13 July 1985 (aged 32),94,0,Standard Liège
14,FW,Javier Hernández,1 June 1988 (aged 30),102,49,West Ham United
15,DF,Héctor Moreno,17 January 1988 (aged 30),92,3,Real Sociedad
16,DF,Héctor Herrera,19 April 1990 (aged 28),66,5,Porto
17,MF,Jesús Manuel Corona,6 January 1993 (aged 25),36,7,Porto
18,MF,Andrés Guardado,28 September 1986 (aged 31),145,25,Real Betis
19,FW,Oribe Peralta,12 January 1984 (aged 34),67,26,América
20,MF,Javier Aquino,11 February 1990 (aged 28),53,0,UANL
21,DF,Edson Álvarez,24 October 1997 (aged 20),13,1,América
22,FW,Hirving Lozano,30 July 1995 (aged 22),28,7,PSV Eindhoven
23,MF,Jesús Gallardo,15 August 1994 (aged 23),23,0,UNAM
