No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Yassine Bounou,5 April 1991 (aged 27),11,0,Girona
2,DF,Achraf Hakimi,4 November 1998 (aged 19),10,1,Real Madrid
3,DF,Hamza Mendyl,21 October 1997 (aged 20),13,0,Lille
4,DF,Manuel da Costa,6 May 1986 (aged 32),28,1,İstanbul Başakşehir
5,DF,Medhi Benatia (captain),17 April 1987 (aged 31),57,2,Juventus
6,DF,Romain Saïss,26 March 1990 (aged 28),24,1,Wolverhampton Wanderers
7,MF,Hakim Ziyech,19 March 1993 (aged 25),18,9,Ajax
8,MF,Karim El Ahmadi,27 January 1985 (aged 33),51,1,Feyenoord
9,FW,Ayoub El Kaabi,25 June 1993 (aged 24),10,11,RS Berkane
10,MF,Younès Belhanda,25 February 1990 (aged 28),47,5,Galatasaray
11,MF,Fayçal Fajr,1 August 1988 (aged 29),23,2,Getafe
12,GK,Munir Mohamedi,10 May 1989 (aged 29),27,0,Numancia
13,FW,Khalid Boutaïb,24 April 1987 (aged 31),18,7,Yeni Malatyaspor
14,MF,Mbark Boussoufa,15 August 1984 (aged 33),59,7,Al-Jazira
15,MF,Youssef Aït Bennasser,7 July 1996 (aged 21),14,0,Caen
16,MF,Nordin Amrabat,31 March 1987 (aged 31),44,4,Leganés
17,DF,Nabil Dirar,25 February 1986 (aged 32),34,3,Fenerbahçe
18,MF,Amine Harit,18 June 1997 (aged 20),6,0,Schalke 04
19,FW,Youssef En-Nesyri,1 June 1997 (aged 21),16,2,Málaga
20,FW,Aziz Bouhaddouz,30 March 1987 (aged 31),15,3,FC St. Pauli
21,MF,Sofyan Amrabat,21 August 1996 (aged 21),6,0,Feyenoord
22,GK,Ahmed Reda Tagnaouti,5 April 1996 (aged 22),2,0,IR Tanger
23,MF,Mehdi Carcela,1 July 1989 (aged 28),20,1,Standard Liège
