No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Ikechukwu Ezenwa,16 October 1988 (aged 29),24,0,Enyimba
2,DF,Brian Idowu,18 May 1992 (aged 26),5,1,Amkar Perm
3,DF,Elderson Echiéjilé,20 January 1988 (aged 30),62,3,Cercle Brugge
4,MF,Wilfred Ndidi,16 December 1996 (aged 21),17,0,Leicester City
5,DF,William Troost-Ekong,1 September 1993 (aged 24),22,1,Bursaspor
6,DF,Leon Balogun,28 June 1988 (aged 29),19,0,Mainz 05
7,FW,Ahmed Musa,14 October 1992 (aged 25),72,13,CSKA Moscow
8,MF,Oghenekaro Etebo,9 November 1995 (aged 22),14,1,Las Palmas
9,FW,Odion Ighalo,16 June 1989 (aged 28),19,4,Changchun Yatai
10,MF,John Obi Mikel (captain),22 April 1987 (aged 31),85,6,Tianjin TEDA
11,FW,Victor Moses,12 December 1990 (aged 27),34,11,Chelsea
12,DF,Shehu Abdullahi,12 March 1993 (aged 25),25,0,Bursaspor
13,FW,Simeon Nwankwo,7 May 1992 (aged 26),2,0,Crotone
14,FW,Kelechi Iheanacho,10 March 1996 (aged 22),18,8,Leicester City
15,MF,Joel Obi,22 May 1991 (aged 27),17,0,Torino
16,GK,Daniel Akpeyi,8 March 1986 (aged 32),7,0,Chippa United
17,MF,Ogenyi Onazi,25 December 1992 (aged 25),52,1,Trabzonspor
18,FW,Alex Iwobi,3 May 1996 (aged 22),19,5,Arsenal
19,MF,John Ogu,20 April 1988 (aged 30),20,2,Hapoel Be'er Sheva
20,DF,Chidozie Awaziem,1 January 1997 (aged 21),4,0,Nantes
21,DF,Tyronne Ebuehi,16 December 1995 (aged 22),7,0,ADO Den Haag
22,DF,Kenneth Omeruo,17 October 1993 (aged 24),39,0,Kasımpaşa
23,GK,Francis Uzoho,28 October 1998 (aged 19),6,0,Deportivo La Coruña
