No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Jaime Penedo,26 September 1981 (aged 36),131,0,Dinamo București
2,DF,Michael Amir Murillo,11 February 1996 (aged 22),22,2,New York Red Bulls
3,DF,Harold Cummings,1 March 1992 (aged 26),52,0,San Jose Earthquakes
4,DF,Fidel Escobar,9 January 1995 (aged 23),23,1,New York Red Bulls
5,DF,Román Torres,20 March 1986 (aged 32),111,10,Seattle Sounders FC
6,MF,Gabriel Gómez,29 May 1984 (aged 34),144,12,Atlético Bucaramanga
7,FW,Blas Pérez,13 March 1981 (aged 37),118,43,Municipal
8,MF,Édgar Bárcenas,23 October 1993 (aged 24),29,0,Tapachula
9,FW,Gabriel Torres,31 October 1988 (aged 29),72,14,Huachipato
10,FW,Ismael Díaz,12 May 1997 (aged 21),11,2,Deportivo Fabril
11,MF,Armando Cooper,26 November 1987 (aged 30),98,7,Universidad de Chile
12,GK,José Calderón,14 August 1985 (aged 32),31,0,Chorrillo
13,DF,Adolfo Machado,14 February 1985 (aged 33),76,1,Houston Dynamo
14,MF,Valentín Pimentel,30 May 1991 (aged 27),23,1,Plaza Amador
15,DF,Erick Davis,31 March 1991 (aged 27),38,0,Dunajská Streda
16,FW,Abdiel Arroyo,13 December 1993 (aged 24),33,5,Alajuelense
17,DF,Luis Ovalle,7 September 1988 (aged 29),25,0,CD Olimpia
18,FW,Luis Tejada,28 March 1982 (aged 36),105,43,Sport Boys
19,MF,Ricardo Ávila,4 February 1997 (aged 21),5,0,Gent
20,MF,Aníbal Godoy,10 February 1990 (aged 28),88,1,San Jose Earthquakes
21,MF,José Luis Rodríguez,19 June 1998 (aged 19),2,0,Gent
22,GK,Álex Rodríguez,5 August 1990 (aged 27),6,0,San Francisco
23,DF,Felipe Baloy (captain),24 February 1981 (aged 37),102,3,Municipal
