No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Pedro Gallese,23 February 1990 (aged 28),38,0,Veracruz
2,DF,Alberto Rodríguez,31 March 1984 (aged 34),59,0,Atlético Junior
3,DF,Aldo Corzo,20 May 1989 (aged 29),25,0,Universitario
4,DF,Anderson Santamaría,10 January 1992 (aged 26),4,0,Puebla
5,DF,Miguel Araujo,24 October 1994 (aged 23),7,0,Alianza Lima
6,DF,Miguel Trauco,25 August 1992 (aged 25),27,0,Flamengo
7,MF,Paolo Hurtado,27 July 1990 (aged 27),31,3,Vitória de Guimarães
8,MF,Christian Cueva,23 November 1991 (aged 26),44,8,São Paulo
9,FW,Paolo Guerrero (captain),1 January 1984 (aged 34),88,34,Flamengo
10,FW,Jefferson Farfán,26 October 1984 (aged 33),84,25,Lokomotiv Moscow
11,FW,Raúl Ruidíaz,25 July 1990 (aged 27),30,4,Morelia
12,GK,Carlos Cáceda,27 September 1991 (aged 26),4,0,Deportivo Municipal
13,MF,Renato Tapia,28 July 1995 (aged 22),23,1,Feyenoord
14,MF,Andy Polo,29 September 1994 (aged 23),17,1,Portland Timbers
15,DF,Christian Ramos,4 November 1988 (aged 29),66,3,Veracruz
16,MF,Wilder Cartagena,23 September 1994 (aged 23),3,0,Veracruz
17,DF,Luis Advíncula,2 March 1990 (aged 28),65,0,Lobos BUAP
18,FW,André Carrillo,14 June 1991 (aged 27),45,5,Watford
19,MF,Yoshimar Yotún,7 April 1990 (aged 28),73,2,Orlando City
20,FW,Edison Flores,14 May 1994 (aged 24),29,9,AaB
21,GK,José Carvallo,1 March 1986 (aged 32),6,0,UTC
22,DF,Nilson Loyola,26 October 1994 (aged 23),3,0,Melgar
23,MF,Pedro Aquino,13 April 1995 (aged 23),13,0,Lobos BUAP
