No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Wojciech Szczęsny,18 April 1990 (aged 28),35,0,Juventus
2,DF,Michał Pazdan,21 September 1987 (aged 30),33,0,Legia Warsaw
3,DF,Artur Jędrzejczyk,4 November 1987 (aged 30),36,3,Legia Warsaw
4,DF,Thiago Cionek,21 April 1986 (aged 32),19,0,SPAL
5,DF,Jan Bednarek,12 April 1996 (aged 22),3,0,Southampton
6,MF,Jacek Góralski,21 September 1992 (aged 25),5,0,Ludogorets Razgrad
7,FW,Arkadiusz Milik,28 February 1994 (aged 24),40,12,Napoli
8,MF,Karol Linetty,2 February 1995 (aged 23),20,1,Sampdoria
9,FW,Robert Lewandowski (captain),21 August 1988 (aged 29),95,55,Bayern Munich
10,MF,Grzegorz Krychowiak,29 January 1990 (aged 28),51,2,West Bromwich Albion
11,MF,Kamil Grosicki,8 June 1988 (aged 30),57,12,Hull City
12,GK,Bartosz Białkowski,6 July 1987 (aged 30),1,0,Ipswich Town
13,MF,Maciej Rybus,19 August 1989 (aged 28),51,2,Lokomotiv Moscow
14,FW,Łukasz Teodorczyk,3 June 1991 (aged 27),17,4,Anderlecht
15,DF,Kamil Glik,3 February 1988 (aged 30),57,4,Monaco
16,MF,Jakub Błaszczykowski,14 December 1985 (aged 32),99,20,VfL Wolfsburg
17,MF,Sławomir Peszko,19 February 1985 (aged 33),43,2,Lechia Gdańsk
18,DF,Bartosz Bereszyński,12 July 1992 (aged 25),8,0,Sampdoria
19,MF,Piotr Zieliński,20 May 1994 (aged 24),33,5,Napoli
20,DF,Łukasz Piszczek,3 June 1985 (aged 33),63,3,Borussia Dortmund
21,MF,Rafał Kurzawa,29 January 1993 (aged 25),3,0,Górnik Zabrze
22,GK,Łukasz Fabiański,18 April 1985 (aged 33),45,0,Swansea City
23,FW,Dawid Kownacki,14 March 1997 (aged 21),2,1,Sampdoria
