No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Rui Patrício,15 February 1988 (aged 30),69,0,Sporting CP
2,DF,Bruno Alves,27 November 1981 (aged 36),96,11,Rangers
3,DF,Pepe,26 February 1983 (aged 35),95,5,Beşiktaş
4,MF,Manuel Fernandes,5 February 1986 (aged 32),14,3,Lokomotiv Moscow
5,DF,Raphaël Guerreiro,22 December 1993 (aged 24),24,2,Borussia Dortmund
6,DF,José Fonte,22 December 1983 (aged 34),31,0,Dalian Yifang
7,FW,Cristiano Ronaldo (captain),5 February 1985 (aged 33),150,81,Real Madrid
8,MF,João Moutinho,8 September 1986 (aged 31),110,7,Monaco
9,FW,André Silva,6 November 1995 (aged 22),23,12,Milan
10,MF,João Mário,19 January 1993 (aged 25),36,2,West Ham United
11,MF,Bernardo Silva,10 August 1994 (aged 23),25,2,Manchester City
12,GK,Anthony Lopes,1 October 1990 (aged 27),7,0,Lyon
13,DF,Rúben Dias,14 May 1997 (aged 21),1,0,Benfica
14,MF,William Carvalho,7 April 1992 (aged 26),43,2,Sporting CP
15,DF,Ricardo Pereira,6 October 1993 (aged 24),4,0,Porto
16,MF,Bruno Fernandes,8 September 1994 (aged 23),6,1,Sporting CP
17,FW,Gonçalo Guedes,29 November 1996 (aged 21),10,3,Valencia
18,FW,Gelson Martins,11 May 1995 (aged 23),18,0,Sporting CP
19,DF,Mário Rui,27 May 1991 (aged 27),4,0,Napoli
20,FW,Ricardo Quaresma,26 September 1983 (aged 34),77,9,Beşiktaş
21,DF,Cédric,31 August 1991 (aged 26),29,1,Southampton
22,GK,Beto,1 May 1982 (aged 36),14,0,Göztepe
23,MF,Adrien Silva,15 March 1989 (aged 29),23,1,Leicester City
