No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Igor Akinfeev (captain),8 April 1986 (aged 32),106,0,CSKA Moscow
2,DF,Mário Fernandes,19 September 1990 (aged 27),5,0,CSKA Moscow
3,DF,Ilya Kutepov,29 July 1993 (aged 24),7,0,Spartak Moscow
4,DF,Sergei Ignashevich,14 July 1979 (aged 38),122,8,CSKA Moscow
5,DF,Andrei Semyonov,24 March 1989 (aged 29),6,0,Akhmat Grozny
6,MF,Denis Cheryshev,26 December 1990 (aged 27),11,0,Villarreal
7,MF,Daler Kuzyayev,15 January 1993 (aged 25),6,0,Zenit Saint Petersburg
8,MF,Yury Gazinsky,20 July 1989 (aged 28),6,0,Krasnodar
9,MF,Alan Dzagoev,17 June 1990 (aged 27),57,9,CSKA Moscow
10,FW,Fyodor Smolov,9 February 1990 (aged 28),32,12,Krasnodar
11,MF,Roman Zobnin,11 February 1994 (aged 24),12,0,Spartak Moscow
12,GK,Andrey Lunyov,13 November 1991 (aged 26),3,0,Zenit Saint Petersburg
13,DF,Fyodor Kudryashov,5 April 1987 (aged 31),19,0,Rubin Kazan
14,DF,Vladimir Granat,22 May 1987 (aged 31),12,1,Rubin Kazan
15,MF,Aleksei Miranchuk,17 October 1995 (aged 22),18,4,Lokomotiv Moscow
16,MF,Anton Miranchuk,17 October 1995 (aged 22),6,0,Lokomotiv Moscow
17,MF,Aleksandr Golovin,30 May 1996 (aged 22),19,2,CSKA Moscow
18,MF,Yuri Zhirkov,20 August 1983 (aged 34),84,2,Zenit Saint Petersburg
19,MF,Aleksandr Samedov,19 July 1984 (aged 33),48,7,Spartak Moscow
20,GK,Vladimir Gabulov,19 October 1983 (aged 34),10,0,Club Brugge
21,MF,Aleksandr Yerokhin,13 October 1989 (aged 28),17,0,Zenit Saint Petersburg
22,FW,Artem Dzyuba,22 August 1988 (aged 29),23,11,Arsenal Tula
23,DF,Igor Smolnikov,8 August 1988 (aged 29),27,0,Zenit Saint Petersburg
