No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Abdoulaye Diallo,30 March 1992 (aged 26),17,0,Rennes
2,DF,Adama Mbengue,1 December 1993 (aged 24),6,0,Caen
3,DF,Kalidou Koulibaly,20 June 1991 (aged 26),26,0,Napoli
4,DF,Kara Mbodji,22 November 1989 (aged 28),52,5,Anderlecht
5,MF,Idrissa Gueye,26 September 1989 (aged 28),61,1,Everton
6,MF,Salif Sané,25 August 1990 (aged 27),22,0,Hannover 96
7,FW,Moussa Sow,19 January 1986 (aged 32),51,18,Bursaspor
8,MF,Cheikhou Kouyaté (captain),21 December 1989 (aged 28),48,2,West Ham United
9,FW,Mame Biram Diouf,16 December 1987 (aged 30),49,10,Stoke City
10,FW,Sadio Mané,10 April 1992 (aged 26),53,14,Liverpool
11,MF,Cheikh N'Doye,29 March 1986 (aged 32),26,3,Birmingham City
12,DF,Youssouf Sabaly,5 March 1993 (aged 25),5,0,Bordeaux
13,MF,Alfred N'Diaye,6 March 1990 (aged 28),21,0,Wolverhampton Wanderers
14,FW,Moussa Konaté,3 April 1993 (aged 25),28,10,Amiens
15,FW,Diafra Sakho,24 December 1989 (aged 28),12,3,Rennes
16,GK,Khadim N'Diaye,5 April 1985 (aged 33),26,0,Horoya
17,MF,Badou Ndiaye,27 October 1990 (aged 27),20,1,Stoke City
18,FW,Ismaïla Sarr,25 February 1998 (aged 20),16,3,Rennes
19,FW,M'Baye Niang,19 December 1994 (aged 23),7,0,Torino
20,FW,Keita Baldé,8 March 1995 (aged 23),19,3,Monaco
21,DF,Lamine Gassama,20 October 1989 (aged 28),36,0,Alanyaspor
22,DF,Moussa Wagué,4 October 1998 (aged 19),10,0,Eupen
23,GK,Alfred Gomis,5 September 1993 (aged 24),1,0,SPAL
