No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Vladimir Stojković,28 July 1983 (aged 34),81,0,Partizan
2,DF,Antonio Rukavina,26 January 1984 (aged 34),47,0,Villarreal
3,DF,Duško Tošić,19 January 1985 (aged 33),24,1,Beşiktaş
4,MF,Luka Milivojević,7 April 1991 (aged 27),28,1,Crystal Palace
5,DF,Uroš Spajić,13 February 1993 (aged 25),5,0,Anderlecht
6,DF,Branislav Ivanović,22 February 1984 (aged 34),103,13,Zenit Saint Petersburg
7,MF,Andrija Živković,11 July 1996 (aged 21),10,0,Benfica
8,FW,Aleksandar Prijović,21 April 1990 (aged 28),9,1,PAOK
9,FW,Aleksandar Mitrović,16 September 1994 (aged 23),37,16,Fulham
10,MF,Dušan Tadić,20 November 1988 (aged 29),53,13,Southampton
11,DF,Aleksandar Kolarov (captain),10 November 1985 (aged 32),76,10,Roma
12,GK,Predrag Rajković,31 October 1995 (aged 22),8,0,Maccabi Tel Aviv
13,DF,Miloš Veljković,26 September 1995 (aged 22),2,0,Werder Bremen
14,DF,Milan Rodić,2 April 1991 (aged 27),1,0,Red Star Belgrade
15,DF,Nikola Milenković,12 October 1997 (aged 20),3,0,Fiorentina
16,MF,Marko Grujić,13 April 1996 (aged 22),8,0,Cardiff City
17,MF,Filip Kostić,1 November 1992 (aged 25),23,2,Hamburger SV
18,FW,Nemanja Radonjić,15 February 1996 (aged 22),3,0,Red Star Belgrade
19,FW,Luka Jović,23 December 1997 (aged 20),1,0,Eintracht Frankfurt
20,MF,Sergej Milinković-Savić,27 February 1995 (aged 23),4,0,Lazio
21,MF,Nemanja Matić,1 August 1988 (aged 29),40,2,Manchester United
22,MF,Adem Ljajić,29 September 1991 (aged 26),29,6,Torino
23,GK,Marko Dmitrović,24 January 1992 (aged 26),2,0,Eibar
