No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,David de Gea,7 November 1990 (aged 27),29,0,Manchester United
2,DF,Dani Carvajal,11 January 1992 (aged 26),15,0,Real Madrid
3,DF,Gerard Piqué,2 February 1987 (aged 31),98,5,Barcelona
4,DF,Nacho,18 January 1990 (aged 28),17,0,Real Madrid
5,MF,Sergio Busquets,16 July 1988 (aged 29),103,2,Barcelona
6,MF,Andrés Iniesta,11 May 1984 (aged 34),127,14,Barcelona
7,MF,Saúl,21 November 1994 (aged 23),10,0,Atlético Madrid
8,MF,Koke,8 January 1992 (aged 26),40,0,Atlético Madrid
9,FW,Rodrigo,6 March 1991 (aged 27),6,2,Valencia
10,MF,Thiago,11 April 1991 (aged 27),29,2,Bayern Munich
11,FW,Lucas Vázquez,1 July 1991 (aged 26),7,0,Real Madrid
12,DF,Álvaro Odriozola,14 December 1995 (aged 22),4,1,Real Sociedad
13,GK,Kepa Arrizabalaga,3 October 1994 (aged 23),1,0,Athletic Bilbao
14,DF,César Azpilicueta,28 August 1989 (aged 28),22,0,Chelsea
15,DF,Sergio Ramos (captain),30 March 1986 (aged 32),152,13,Real Madrid
16,DF,Nacho Monreal,26 February 1986 (aged 32),22,1,Arsenal
17,FW,Iago Aspas,1 August 1987 (aged 30),10,5,Celta Vigo
18,DF,Jordi Alba,21 March 1989 (aged 29),62,8,Barcelona
19,FW,Diego Costa,7 October 1988 (aged 29),20,7,Atlético Madrid
20,MF,Marco Asensio,21 January 1996 (aged 22),12,0,Real Madrid
21,FW,David Silva,8 January 1986 (aged 32),121,35,Manchester City
22,MF,Isco,21 April 1992 (aged 26),28,10,Real Madrid
23,GK,Pepe Reina,31 August 1982 (aged 35),36,0,Napoli
