No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Robin Olsen,8 January 1990 (aged 28),18,0,Copenhagen
2,DF,Mikael Lustig,13 December 1986 (aged 31),66,6,Celtic
3,DF,Victor Lindelöf,17 July 1994 (aged 23),21,1,Manchester United
4,DF,Andreas Granqvist (captain),16 April 1985 (aged 33),72,6,Krasnodar
5,DF,Martin Olsson,17 May 1988 (aged 30),43,5,Swansea City
6,DF,Ludwig Augustinsson,21 April 1994 (aged 24),15,0,Werder Bremen
7,MF,Sebastian Larsson,6 June 1985 (aged 33),100,6,Hull City
8,MF,Albin Ekdal,28 July 1989 (aged 28),34,0,Hamburger SV
9,FW,Marcus Berg,17 August 1986 (aged 31),57,18,Al Ain
10,MF,Emil Forsberg,23 October 1991 (aged 26),36,6,RB Leipzig
11,FW,John Guidetti,15 April 1992 (aged 26),20,1,Alavés
12,GK,Karl-Johan Johnsson,28 January 1990 (aged 28),5,0,Guingamp
13,MF,Gustav Svensson,7 February 1987 (aged 31),13,0,Seattle Sounders FC
14,DF,Filip Helander,22 April 1993 (aged 25),4,0,Bologna
15,MF,Oscar Hiljemark,28 June 1992 (aged 25),22,2,Genoa
16,DF,Emil Krafth,2 August 1994 (aged 23),13,0,Bologna
17,MF,Viktor Claesson,2 January 1992 (aged 26),22,3,Krasnodar
18,DF,Pontus Jansson,13 February 1991 (aged 27),15,0,Leeds United
19,MF,Marcus Rohdén,11 May 1991 (aged 27),12,1,Crotone
20,FW,Ola Toivonen,3 July 1986 (aged 31),59,13,Toulouse
21,MF,Jimmy Durmaz,22 March 1989 (aged 29),45,3,Toulouse
22,FW,Isaac Kiese Thelin,24 June 1992 (aged 25),20,2,Waasland-Beveren
23,GK,Kristoffer Nordfeldt,23 June 1989 (aged 28),8,0,Swansea City
