No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Yann Sommer,17 December 1988 (aged 29),35,0,Borussia Mönchengladbach
2,DF,Stephan Lichtsteiner (captain),16 January 1984 (aged 34),100,8,Juventus
3,DF,François Moubandje,21 June 1990 (aged 27),18,0,Toulouse
4,DF,Nico Elvedi,30 September 1996 (aged 21),6,0,Borussia Mönchengladbach
5,DF,Manuel Akanji,19 July 1995 (aged 22),7,0,Borussia Dortmund
6,DF,Michael Lang,8 February 1991 (aged 27),24,2,Basel
7,FW,Breel Embolo,14 February 1997 (aged 21),25,3,Schalke 04
8,MF,Remo Freuler,15 April 1992 (aged 26),10,0,Atalanta
9,FW,Haris Seferović,22 February 1992 (aged 26),51,12,Benfica
10,MF,Granit Xhaka,27 September 1992 (aged 25),62,9,Arsenal
11,MF,Valon Behrami,19 April 1985 (aged 33),79,2,Udinese
12,GK,Yvon Mvogo,6 June 1994 (aged 24),0,0,RB Leipzig
13,DF,Ricardo Rodríguez,25 August 1992 (aged 25),53,5,Milan
14,MF,Steven Zuber,17 August 1991 (aged 26),12,3,1899 Hoffenheim
15,MF,Blerim Džemaili,12 April 1986 (aged 32),65,9,Bologna
16,MF,Gelson Fernandes,2 September 1986 (aged 31),67,2,Eintracht Frankfurt
17,MF,Denis Zakaria,20 November 1996 (aged 21),10,0,Borussia Mönchengladbach
18,FW,Mario Gavranović,24 November 1989 (aged 28),14,5,Dinamo Zagreb
19,FW,Josip Drmić,8 August 1992 (aged 25),29,9,Borussia Mönchengladbach
20,DF,Johan Djourou,18 January 1987 (aged 31),74,2,Antalyaspor
21,GK,Roman Bürki,14 November 1990 (aged 27),9,0,Borussia Dortmund
22,DF,Fabian Schär,20 December 1991 (aged 26),39,7,Deportivo La Coruña
23,MF,Xherdan Shaqiri,10 October 1991 (aged 26),70,20,Stoke City
