No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Farouk Ben Mustapha,1 July 1989 (aged 28),15,0,Al-Shabab
2,DF,Syam Ben Youssef,31 March 1989 (aged 29),42,1,Kasımpaşa
3,DF,Yohan Benalouane,28 March 1987 (aged 31),4,0,Leicester City
4,DF,Yassine Meriah,2 July 1993 (aged 24),16,1,CS Sfaxien
5,DF,Oussama Haddadi,28 January 1992 (aged 26),9,0,Dijon
6,DF,Rami Bedoui,19 January 1990 (aged 28),8,0,Étoile du Sahel
7,FW,Saîf-Eddine Khaoui,27 April 1995 (aged 23),5,0,Troyes
8,FW,Fakhreddine Ben Youssef,23 June 1991 (aged 26),39,5,Al-Ettifaq
9,MF,Anice Badri,18 September 1990 (aged 27),7,2,Espérance
10,FW,Wahbi Khazri,8 February 1991 (aged 27),35,12,Rennes
11,DF,Dylan Bronn,19 June 1995 (aged 22),5,0,Gent
12,DF,Ali Maâloul,1 January 1990 (aged 28),46,0,Al Ahly
13,MF,Ferjani Sassi,18 March 1992 (aged 26),39,3,Al-Nassr
14,MF,Mohamed Amine Ben Amor,3 May 1992 (aged 26),26,1,Al-Ahli
15,FW,Ahmed Khalil,21 December 1994 (aged 23),3,0,Club Africain
16,GK,Aymen Mathlouthi (captain),14 September 1984 (aged 33),70,0,Al-Batin
17,MF,Ellyes Skhiri,10 May 1995 (aged 23),5,0,Montpellier
18,FW,Bassem Srarfi,25 June 1997 (aged 20),5,0,Nice
19,FW,Saber Khalifa,14 October 1986 (aged 31),44,7,Club Africain
20,FW,Ghailene Chaalali,28 February 1994 (aged 24),6,1,Espérance
21,DF,Hamdi Nagguez,28 October 1992 (aged 25),15,0,Zamalek
22,GK,Mouez Hassen,5 March 1995 (aged 23),3,0,Châteauroux
23,FW,Naïm Sliti,27 July 1992 (aged 25),17,3,Dijon
