No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Fernando Muslera,16 June 1986 (aged 31),97,0,Galatasaray
2,DF,José Giménez,20 January 1995 (aged 23),42,5,Atlético Madrid
3,DF,Diego Godín (captain),16 February 1986 (aged 32),116,8,Atlético Madrid
4,DF,Guillermo Varela,24 March 1993 (aged 25),3,0,Peñarol
5,MF,Carlos Sánchez,2 December 1984 (aged 33),36,1,Monterrey
6,MF,Rodrigo Bentancur,25 June 1997 (aged 20),7,0,Juventus
7,MF,Cristian Rodríguez,30 September 1985 (aged 32),105,11,Peñarol
8,MF,Nahitan Nández,28 December 1995 (aged 22),12,0,Boca Juniors
9,FW,Luis Suárez,24 January 1987 (aged 31),98,51,Barcelona
10,FW,Giorgian De Arrascaeta,1 June 1994 (aged 24),14,2,Cruzeiro
11,FW,Cristhian Stuani,12 October 1986 (aged 31),41,5,Girona
12,GK,Martín Campaña,29 May 1989 (aged 29),1,0,Independiente
13,DF,Gastón Silva,5 March 1994 (aged 24),17,0,Independiente
14,MF,Lucas Torreira,11 February 1996 (aged 22),3,0,Sampdoria
15,MF,Matías Vecino,24 August 1991 (aged 26),22,1,Inter Milan
16,DF,Maxi Pereira,8 June 1984 (aged 34),125,3,Porto
17,MF,Diego Laxalt,7 February 1993 (aged 25),6,0,Genoa
18,FW,Maxi Gómez,14 August 1996 (aged 21),5,0,Celta Vigo
19,DF,Sebastián Coates,7 October 1990 (aged 27),30,1,Sporting CP
20,FW,Jonathan Urretaviscaya,19 March 1990 (aged 28),4,0,Monterrey
21,FW,Edinson Cavani,14 February 1987 (aged 31),101,42,Paris Saint-Germain
22,DF,Martín Cáceres,7 April 1987 (aged 31),76,4,Lazio
23,GK,Martín Silva,25 March 1983 (aged 35),11,0,Vasco da Gama
